Fold,Model,Base_Model,Method,F1 Score,hamming_loss_score,Best_Model
5,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.7872757847533632,0.09416873449131513,LP_RandomForestClassifier
5,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.7285847589424572,0.1353287841191067,LP_RandomForestClassifier
5,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.6897996918335901,0.15611042183622828,LP_RandomForestClassifier
5,LP_LogisticRegression,LogisticRegression,Label Powerset,0.6319941563184807,0.15626550868486352,LP_RandomForestClassifier
5,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.6055334885632105,0.17866004962779156,LP_RandomForestClassifier
5,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.5922041821972329,0.20021712158808933,LP_RandomForestClassifier
5,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.5624382672498942,0.1923697270471464,LP_RandomForestClassifier
5,LP_GaussianNB,GaussianNB,Label Powerset,0.535041611914148,0.26339950372208437,LP_RandomForestClassifier
5,CC_LinearSVC,LinearSVC,Classifier Chains,0.5093112244897959,0.23864764267990074,LP_RandomForestClassifier
5,BR_LinearSVC,LinearSVC,Binary Relevance,0.4938845022449296,0.20279156327543424,LP_RandomForestClassifier
5,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.48999936098153235,0.24754962779156328,LP_RandomForestClassifier
5,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.4878653950531131,0.2048697270471464,LP_RandomForestClassifier
5,BR_GaussianNB,GaussianNB,Binary Relevance,0.45647336633213753,0.3712468982630273,LP_RandomForestClassifier
5,CC_GaussianNB,GaussianNB,Classifier Chains,0.44001423994304023,0.43911290322580643,LP_RandomForestClassifier
6,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.8785288785288785,0.05818858560794045,LP_RandomForestClassifier
6,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.8141095277653524,0.09022952853598015,LP_RandomForestClassifier
6,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.803796628169388,0.09168734491315136,LP_RandomForestClassifier
6,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.8019082882369696,0.08629032258064516,LP_RandomForestClassifier
6,LP_LinearSVC,LinearSVC,Label Powerset,0.7970784375992378,0.09910049627791563,LP_RandomForestClassifier
6,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.7334317059087702,0.12887717121588088,LP_RandomForestClassifier
6,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.6849156254025506,0.15173697270471465,LP_RandomForestClassifier
6,LP_LogisticRegression,LogisticRegression,Label Powerset,0.6481551346864861,0.14463399503722085,LP_RandomForestClassifier
6,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.6200153642014107,0.16876550868486354,LP_RandomForestClassifier
6,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.6038246088468224,0.19084987593052108,LP_RandomForestClassifier
6,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.5749403006040175,0.18771712158808934,LP_RandomForestClassifier
6,LP_GaussianNB,GaussianNB,Label Powerset,0.5353483313297842,0.25176799007444167,LP_RandomForestClassifier
6,CC_LinearSVC,LinearSVC,Classifier Chains,0.5107319024130116,0.22766749379652607,LP_RandomForestClassifier
6,BR_LinearSVC,LinearSVC,Binary Relevance,0.5098382856687644,0.19084987593052108,LP_RandomForestClassifier
6,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.5084497671324019,0.22915632754342433,LP_RandomForestClassifier
6,BR_LogisticRegression,LogisticRegression,Binary Relevance,0.5049426020408163,0.19261786600496278,LP_RandomForestClassifier
6,BR_GaussianNB,GaussianNB,Binary Relevance,0.4560590294201116,0.3566997518610422,LP_RandomForestClassifier
6,CC_GaussianNB,GaussianNB,Classifier Chains,0.4405429570023571,0.426985111662531,LP_RandomForestClassifier
7,LP_RandomForestClassifier,RandomForestClassifier,Label Powerset,0.8898161586840833,0.0565136476426799,LP_RandomForestClassifier
7,LP_DecisionTreeClassifier,DecisionTreeClassifier,Label Powerset,0.8284702722500306,0.08715880893300249,LP_RandomForestClassifier
7,LP_LinearSVC,LinearSVC,Label Powerset,0.8059880239520958,0.10049627791563276,LP_RandomForestClassifier
7,CC_RandomForestClassifier,RandomForestClassifier,Classifier Chains,0.8028776978417266,0.09773573200992555,LP_RandomForestClassifier
7,BR_RandomForestClassifier,RandomForestClassifier,Binary Relevance,0.7937957429664944,0.09525434243176178,LP_RandomForestClassifier
7,BR_DecisionTreeClassifier,DecisionTreeClassifier,Binary Relevance,0.7431918362417729,0.1319168734491315,LP_RandomForestClassifier
7,CC_DecisionTreeClassifier,DecisionTreeClassifier,Classifier Chains,0.70798598526036,0.1499379652605459,LP_RandomForestClassifier
7,LP_LogisticRegression,LogisticRegression,Label Powerset,0.6238047666619095,0.16352357320099256,LP_RandomForestClassifier
7,BR_KNeighborsClassifier,KNeighborsClassifier,Binary Relevance,0.6131623354708066,0.1777605459057072,LP_RandomForestClassifier
7,CC_KNeighborsClassifier,KNeighborsClassifier,Classifier Chains,0.5969441845961958,0.20046526054590572,LP_RandomForestClassifier
7,LP_KNeighborsClassifier,KNeighborsClassifier,Label Powerset,0.5667100664702255,0.1961228287841191,LP_RandomForestClassifier
7,LP_GaussianNB,GaussianNB,Label Powerset,0.5292415224157703,0.26740074441687345,LP_RandomForestClassifier
7,CC_LinearSVC,LinearSVC,Classifier Chains,0.5155638397017708,0.2418424317617866,LP_RandomForestClassifier
7,CC_LogisticRegression,LogisticRegression,Classifier Chains,0.5055136751604261,0.2461848635235732,LP_RandomForestClassifier
7,BR_LinearSVC,LinearSVC,Binary Relevance,0.49315482943801525,0.20784739454094292,LP_RandomForestClassifier
